arch,strategy,fold0,fold1,fold2,fold3,fold4,fold_mean,fold_std,fold_spread,pooled
convnext_tiny,finetuned,0.8149425287356293,0.8051118210862592,0.8736318407960173,0.8294051627384932,0.8723163841807878,0.8390815475074375,0.03212687386606117,0.06852001970975807,0.8396514161220039
convnext_tiny,frozen,0.7747126436781583,0.8242811501597417,0.8656716417910421,0.820426487093151,0.8440677966101665,0.8258319438664519,0.03378074389279605,0.09095899811288377,0.8270152505446617
efficientnet_b0,finetuned,0.7643678160919514,0.7923322683706044,0.839800995024873,0.830527497194161,0.8700564971751382,0.8194170147713455,0.0414346003106214,0.10568868108318685,0.8198257080610016
efficientnet_b0,frozen,0.773563218390802,0.7965921192758226,0.8447761194029825,0.8215488215488187,0.8531073446327654,0.8179175246502381,0.03314728969991161,0.07954412624196339,0.818518518518518
efficientnet_v2_b0,finetuned,0.7459770114942502,0.7795527156549494,0.830845771144276,0.8125701459034764,0.8531073446327654,0.8044105977659435,0.04233546999968834,0.10713033313851517,0.8050108932461869
efficientnet_v2_b0,frozen,0.7793103448275834,0.8093716719914776,0.84875621890547,0.8361391694724999,0.8338983050847428,0.8214951420563548,0.027558972888577855,0.0694458740778866,0.8222222222222216
mobilenet_v2,finetuned,0.7793103448275834,0.7678381256655992,0.8268656716417885,0.8069584736251375,0.8203389830508446,0.8002623197621906,0.02571946166362057,0.05902754597618931,0.8006535947712413
mobilenet_v2,frozen,0.7724137931034455,0.7689030883919038,0.8189054726368133,0.7665544332210973,0.810169491525421,0.7873892557757362,0.025061443312991726,0.05235103941571606,0.7880174291938994
mobilenet_v3_small,finetuned,0.7609195402298824,0.7742279020234267,0.7621890547263659,0.7317620650953959,0.8135593220338956,0.7685315768217933,0.029623106014959072,0.08179725693849971,0.7684095860566443
mobilenet_v3_small,frozen,0.7666666666666639,0.7997870074547365,0.8258706467661666,0.8451178451178422,0.8361581920903927,0.8147200716191604,0.03178080828893702,0.07845117845117822,0.8150326797385615
nasnet_mobile,finetuned,0.7149425287356297,0.7401490947816803,0.7532338308457689,0.7452300785634094,0.763841807909602,0.7434794681672181,0.01829129169042927,0.0488992791739723,0.7437908496732022
nasnet_mobile,frozen,0.7402298850574688,0.7965921192758229,0.8069651741293509,0.7755331088664396,0.8056497175141214,0.7849940009686407,0.028005543991372835,0.06673528907188209,0.7858387799564266
resnet_50,finetuned,0.773563218390802,0.800851970181041,0.8547263681592013,0.824915824915822,0.8587570621468897,0.8225628887587513,0.03613300286652324,0.08519384375608774,0.8233115468409581
resnet_50,frozen,0.7770114942528709,0.793397231096909,0.8467661691542263,0.8338945005611643,0.8508474576271157,0.8203833705384571,0.03322662589673749,0.0738359633742448,0.820915032679738
