,demodicosis,dermatitis,flea_allergy,fungus,ringworm,scabies
demodicosis,251.0,1.0,2.0,0.0,2.0,0.0
dermatitis,0.0,183.33333333333334,20.666666666666668,19.333333333333332,11.666666666666666,18.0
flea_allergy,2.3333333333333335,20.0,201.33333333333334,5.0,9.333333333333334,13.0
fungus,1.3333333333333333,9.0,8.666666666666666,219.66666666666666,5.666666666666667,15.666666666666666
ringworm,0.0,11.666666666666666,9.333333333333334,6.666666666666667,223.0,5.333333333333333
scabies,0.6666666666666666,24.333333333333332,9.0,27.0,19.0,174.0
