arch,strategy,seed,class,support,precision,recall,f1
mobilenet_v2,frozen,1,demodicosis,256,0.9263565891472831,0.9335937499999962,0.9299610894936597
mobilenet_v2,frozen,1,dermatitis,253,0.6874999999999976,0.7826086956521708,0.7319778188534733
mobilenet_v2,frozen,1,flea_allergy,251,0.7354085603112811,0.7529880478087619,0.7440944881884735
mobilenet_v2,frozen,1,fungus,260,0.7633587786259513,0.7692307692307662,0.7662835249037114
mobilenet_v2,frozen,1,ringworm,256,0.8506224066390007,0.8007812499999968,0.8249496981886318
mobilenet_v2,frozen,1,scabies,254,0.7678571428571395,0.677165354330706,0.7196652719660263
mobilenet_v2,frozen,2,demodicosis,256,0.9166666666666631,0.9453124999999962,0.9307692307687271
mobilenet_v2,frozen,2,dermatitis,253,0.6970802919708003,0.7549407114624477,0.7248576850089856
mobilenet_v2,frozen,2,flea_allergy,251,0.7630522088353383,0.7569721115537819,0.7599999999994969
mobilenet_v2,frozen,2,fungus,260,0.7732342007434915,0.7999999999999968,0.7863894139881549
mobilenet_v2,frozen,2,ringworm,256,0.8299595141700371,0.8007812499999968,0.8151093439358785
mobilenet_v2,frozen,2,scabies,254,0.7488986784140936,0.6692913385826745,0.7068607068602055
mobilenet_v2,frozen,3,demodicosis,256,0.9305019305019269,0.9414062499999962,0.9359223300965837
mobilenet_v2,frozen,3,dermatitis,253,0.652173913043476,0.7707509881422895,0.7065217391299355
mobilenet_v2,frozen,3,flea_allergy,251,0.763999999999997,0.7609561752988018,0.7624750498996966
mobilenet_v2,frozen,3,fungus,260,0.862559241706157,0.6999999999999973,0.772823779192708
mobilenet_v2,frozen,3,ringworm,256,0.8118081180811777,0.8593749999999966,0.8349146110051896
mobilenet_v2,frozen,3,scabies,254,0.7458333333333302,0.7047244094488161,0.724696356274801
mobilenet_v2,finetuned,1,demodicosis,256,0.9647058823529374,0.9609374999999961,0.9628180039133905
mobilenet_v2,finetuned,1,dermatitis,253,0.7990867579908639,0.6916996047430802,0.7415254237283129
mobilenet_v2,finetuned,1,flea_allergy,251,0.8255319148936135,0.7729083665338615,0.7983539094645178
mobilenet_v2,finetuned,1,fungus,260,0.7151702786377686,0.888461538461535,0.7924528301881822
mobilenet_v2,finetuned,1,ringworm,256,0.8392156862745065,0.8359374999999967,0.8375733855180876
mobilenet_v2,finetuned,1,scabies,254,0.7283950617283921,0.6968503937007847,0.712273641850604
mobilenet_v2,finetuned,2,demodicosis,256,0.9638554216867431,0.9374999999999962,0.9504950495044466
mobilenet_v2,finetuned,2,dermatitis,253,0.7419354838709648,0.7272727272727244,0.7345309381232495
mobilenet_v2,finetuned,2,flea_allergy,251,0.7899159663865514,0.749003984063742,0.76891615541872
mobilenet_v2,finetuned,2,fungus,260,0.7051282051282028,0.8461538461538428,0.7692307692302706
mobilenet_v2,finetuned,2,ringworm,256,0.8202247191011205,0.8554687499999966,0.8374760994258832
mobilenet_v2,finetuned,2,scabies,254,0.7731481481481446,0.6574803149606273,0.7106382978718406
mobilenet_v2,finetuned,3,demodicosis,256,0.916349809885928,0.9414062499999962,0.9287090558761824
mobilenet_v2,finetuned,3,dermatitis,253,0.7520325203252002,0.7312252964426849,0.7414829659313609
mobilenet_v2,finetuned,3,flea_allergy,251,0.777327935222669,0.7649402390438217,0.7710843373488945
mobilenet_v2,finetuned,3,fungus,260,0.7386759581881507,0.8153846153846122,0.7751371115168657
mobilenet_v2,finetuned,3,ringworm,256,0.836575875486378,0.8398437499999967,0.8382066276798085
mobilenet_v2,finetuned,3,scabies,254,0.760869565217388,0.6889763779527532,0.7231404958672667
mobilenet_v3_small,frozen,1,demodicosis,256,0.999999999999996,0.9804687499999961,0.9901380670606401
mobilenet_v3_small,frozen,1,dermatitis,253,0.7203065134099589,0.7430830039525662,0.7315175097271237
mobilenet_v3_small,frozen,1,flea_allergy,251,0.7843137254901931,0.7968127490039809,0.7905138339915918
mobilenet_v3_small,frozen,1,fungus,260,0.8257575757575726,0.8384615384615351,0.832061068701787
mobilenet_v3_small,frozen,1,ringworm,256,0.8749999999999964,0.8476562499999966,0.8611111111106078
mobilenet_v3_small,frozen,1,scabies,254,0.7370517928286824,0.7283464566929105,0.7326732673262298
mobilenet_v3_small,frozen,2,demodicosis,256,0.999999999999996,0.9648437499999961,0.9821073558643073
mobilenet_v3_small,frozen,2,dermatitis,253,0.7220077220077191,0.7391304347826058,0.7304687499994972
mobilenet_v3_small,frozen,2,flea_allergy,251,0.786290322580642,0.7768924302788813,0.7815631262520019
mobilenet_v3_small,frozen,2,fungus,260,0.8030303030302999,0.8153846153846122,0.8091603053430082
mobilenet_v3_small,frozen,2,ringworm,256,0.8588235294117613,0.8554687499999966,0.8571428571423537
mobilenet_v3_small,frozen,2,scabies,254,0.7159533073929932,0.7244094488188948,0.7201565557724912
mobilenet_v3_small,frozen,3,demodicosis,256,0.9959349593495894,0.9570312499999962,0.9760956175293767
mobilenet_v3_small,frozen,3,dermatitis,253,0.697416974169739,0.7470355731225267,0.7213740458010244
mobilenet_v3_small,frozen,3,flea_allergy,251,0.7509727626459114,0.7689243027888416,0.7598425196845364
mobilenet_v3_small,frozen,3,fungus,260,0.8219696969696938,0.8346153846153813,0.828244274808657
mobilenet_v3_small,frozen,3,ringworm,256,0.8246268656716387,0.8632812499999966,0.8435114503811764
