,demodicosis,dermatitis,flea_allergy,fungus,ringworm,scabies
demodicosis,251.0,1.6666666666666667,0.6666666666666666,0.0,2.6666666666666665,0.0
dermatitis,0.0,197.0,15.0,24.0,7.333333333333333,9.666666666666666
flea_allergy,2.6666666666666665,22.666666666666668,193.0,9.333333333333334,13.666666666666666,9.666666666666666
fungus,0.6666666666666666,9.333333333333334,6.333333333333333,220.0,6.0,17.666666666666668
ringworm,0.3333333333333333,15.666666666666666,7.333333333333333,10.0,219.0,3.6666666666666665
scabies,0.6666666666666666,25.666666666666668,8.666666666666666,30.0,14.666666666666666,174.33333333333334
