arch,strategy,seed,fold,temperature
efficientnet_v2_b0,frozen,1,1,1.1715276037732005
efficientnet_v2_b0,frozen,1,2,1.179401499032377
efficientnet_v2_b0,frozen,1,3,1.0569089317461078
efficientnet_v2_b0,frozen,1,4,1.4471187308837974
efficientnet_v2_b0,frozen,2,0,1.1255467766173068
efficientnet_v2_b0,frozen,2,1,0.9602036250659437
efficientnet_v2_b0,frozen,2,2,1.0687703478199497
efficientnet_v2_b0,frozen,2,3,1.4536525063320904
efficientnet_v2_b0,frozen,2,4,1.532232163737035
efficientnet_v2_b0,frozen,3,0,1.2669358819775205
efficientnet_v2_b0,frozen,3,1,1.2238081574197561
efficientnet_v2_b0,frozen,3,2,1.3296866208831664
efficientnet_v2_b0,frozen,3,3,1.293139681207839
efficientnet_v2_b0,frozen,3,4,1.4533837669790048
efficientnet_v2_b0,finetuned,1,0,0.634044409533172
efficientnet_v2_b0,finetuned,1,1,0.5008207146233378
efficientnet_v2_b0,finetuned,1,2,0.5726492093278276
efficientnet_v2_b0,finetuned,1,3,0.5102174393287666
efficientnet_v2_b0,finetuned,1,4,0.6531504259554002
efficientnet_v2_b0,finetuned,2,0,0.6145295824179157
efficientnet_v2_b0,finetuned,2,1,0.5454170263745399
efficientnet_v2_b0,finetuned,2,2,0.5608950204580758
efficientnet_v2_b0,finetuned,2,3,0.48939576342201013
efficientnet_v2_b0,finetuned,2,4,0.5362104271855582
efficientnet_v2_b0,finetuned,3,0,0.5960954993283495
efficientnet_v2_b0,finetuned,3,1,0.5388555222359046
efficientnet_v2_b0,finetuned,3,2,0.6061457872063348
efficientnet_v2_b0,finetuned,3,3,0.47497753083962396
efficientnet_v2_b0,finetuned,3,4,0.5475207132054463
nasnet_mobile,frozen,1,0,1.43515087750897
nasnet_mobile,frozen,1,1,1.3146795333758943
nasnet_mobile,frozen,1,2,1.2719372669330564
nasnet_mobile,frozen,1,3,1.3728990766448164
nasnet_mobile,frozen,1,4,1.326235532356968
nasnet_mobile,frozen,2,0,1.0511684085249684
nasnet_mobile,frozen,2,1,1.2975967411944485
nasnet_mobile,frozen,2,2,1.1091055398828864
nasnet_mobile,frozen,2,3,1.4479642904730436
nasnet_mobile,frozen,2,4,1.1736809860079247
nasnet_mobile,frozen,3,0,1.3354514096737093
nasnet_mobile,frozen,3,1,1.1501398143921246
nasnet_mobile,frozen,3,2,1.2453361276149704
nasnet_mobile,frozen,3,3,0.9538121521471898
nasnet_mobile,frozen,3,4,1.0240114011133552
nasnet_mobile,finetuned,1,0,0.6561938785315518
nasnet_mobile,finetuned,1,1,0.7170016548901692
nasnet_mobile,finetuned,1,2,0.6063632432938971
nasnet_mobile,finetuned,1,3,0.6501264440654895
nasnet_mobile,finetuned,1,4,0.7238311459619385
nasnet_mobile,finetuned,2,0,0.6447711024289459
nasnet_mobile,finetuned,2,1,0.7179596222040199
nasnet_mobile,finetuned,2,2,0.5599048558422438
nasnet_mobile,finetuned,2,3,0.7383931949533115
nasnet_mobile,finetuned,2,4,0.745331519361733
nasnet_mobile,finetuned,3,0,0.6620085687715289
nasnet_mobile,finetuned,3,1,0.7095858809564635
nasnet_mobile,finetuned,3,2,0.5803622810411941
nasnet_mobile,finetuned,3,3,0.6027895946849264
nasnet_mobile,finetuned,3,4,0.7752596077408087
convnext_tiny,frozen,1,0,1.3122346489149288
convnext_tiny,frozen,1,1,1.053668065271858
convnext_tiny,frozen,1,2,1.0092847269900842
convnext_tiny,frozen,1,3,1.199007270170811
convnext_tiny,frozen,1,4,1.2763147562553148
convnext_tiny,frozen,2,0,1.0125048338098943
convnext_tiny,frozen,2,1,1.2091578418244529
convnext_tiny,frozen,2,2,1.2628500710685702
convnext_tiny,frozen,2,3,1.0822647063881488
convnext_tiny,frozen,2,4,1.2362764984760741
convnext_tiny,frozen,3,0,1.1479228490290365
convnext_tiny,frozen,3,1,1.1963729325031298
convnext_tiny,frozen,3,2,1.2526562204504352
convnext_tiny,frozen,3,3,1.1290851509877111
convnext_tiny,frozen,3,4,1.0264382633331042
convnext_tiny,finetuned,1,0,1.0831417293716465
convnext_tiny,finetuned,1,1,0.9756116467013916
convnext_tiny,finetuned,1,2,1.0167437402304924
convnext_tiny,finetuned,1,3,0.9842760171208634
convnext_tiny,finetuned,1,4,1.1057275332828067
convnext_tiny,finetuned,2,0,1.0893738157305906
convnext_tiny,finetuned,2,1,0.9890394943913362
convnext_tiny,finetuned,2,2,0.9797824620335722
convnext_tiny,finetuned,2,3,1.0857824397982008
convnext_tiny,finetuned,2,4,1.0461033478980213
convnext_tiny,finetuned,3,0,1.1085360972162472
convnext_tiny,finetuned,3,1,1.0299154825316705
convnext_tiny,finetuned,3,2,0.9313156721643061
convnext_tiny,finetuned,3,3,1.034033150348676
convnext_tiny,finetuned,3,4,1.0779041214478284
