fold,runs,n_images,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
0,42,290,0.7669950738916229,0.024301295754436545,0.7732481481309899,0.024683914057541324
1,42,313,0.7892134489578553,0.02295734817586725,0.7812097227183626,0.021959967052166452
2,42,335,0.8285003553660244,0.03681547530932646,0.8237372972289092,0.03831126811151792
3,42,297,0.8057559724226363,0.040112055029379125,0.8109055299389767,0.04067566962043967
4,42,295,0.8347054075867607,0.032864001794431774,0.829674105432853,0.0321599935416444
