arch,strategy,seed,n_images,accuracy,macro_f1,ece_before,ece_after,brier_before,brier_after,nll_before,nll_after,T_mean,T_min,T_max,T_f0,T_f1,T_f2,T_f3,T_f4,ece_delta,brier_delta,nll_delta
convnext_tiny,finetuned,1,1530,0.8431372549019602,0.842213300676672,0.023224756121635416,0.017759857945192876,0.2254617833597225,0.22548331544708816,0.48214006423950195,0.48086780309677124,1.0331001333414402,0.9756116467013916,1.1057275332828067,1.0831417293716465,0.9756116467013916,1.0167437402304924,0.9842760171208634,1.1057275332828067,-0.00546489817644254,2.1532087365661035e-05,-0.0012722611427307129
convnext_tiny,finetuned,2,1530,0.8300653594771237,0.8268095866755053,0.040948517941961096,0.037773902704513154,0.22421682462721215,0.22352290035597097,0.45996955037117004,0.45890554785728455,1.038016311970344,0.9797824620335722,1.0893738157305906,1.0893738157305906,0.9890394943913362,0.9797824620335722,1.0857824397982008,1.0461033478980213,-0.003174615237447942,-0.0006939242712411808,-0.001064002513885498
convnext_tiny,finetuned,3,1530,0.8457516339869277,0.8441919922409147,0.03163056665775824,0.03062191510122588,0.23154874589562974,0.23070271074388382,0.48772403597831726,0.48593461513519287,1.0363409047417456,0.9313156721643061,1.1085360972162472,1.1085360972162472,1.0299154825316705,0.9313156721643061,1.034033150348676,1.0779041214478284,-0.0010086515565323612,-0.0008460351517459164,-0.0017894208431243896
convnext_tiny,frozen,1,1530,0.8313725490196073,0.8304328602680923,0.039320318605385575,0.019230285228467432,0.24209961570270797,0.23881782884855585,0.5260282158851624,0.5120343565940857,1.1701018935205991,1.0092847269900842,1.3122346489149288,1.3122346489149288,1.053668065271858,1.0092847269900842,1.199007270170811,1.2763147562553148,-0.020090033376918143,-0.003281786854152119,-0.01399385929107666
convnext_tiny,frozen,2,1530,0.8241830065359472,0.8226555724126746,0.047649402809298885,0.02505169884831297,0.2467573816094611,0.2438584460752412,0.5424388647079468,0.5269683599472046,1.1606107903134277,1.0125048338098943,1.2628500710685702,1.0125048338098943,1.2091578418244529,1.2628500710685702,1.0822647063881488,1.2362764984760741,-0.022597703960985916,-0.002898935534219882,-0.015470504760742188
convnext_tiny,frozen,3,1530,0.8254901960784309,0.8241950359697912,0.05138311567259767,0.026864997253698484,0.24969512953669873,0.24588658732870922,0.5549644827842712,0.5308545827865601,1.1504950832606835,1.0264382633331042,1.2526562204504352,1.1479228490290365,1.1963729325031298,1.2526562204504352,1.1290851509877111,1.0264382633331042,-0.024518118418899188,-0.0038085422079895126,-0.02410989999771118
efficientnet_b0,finetuned,1,1530,0.8228758169934636,0.8220574943197478,0.055004176828596325,0.02705392921282577,0.24768546497978983,0.24203453971949265,0.5349916815757751,0.5161425471305847,0.7439927605557711,0.6822285173269127,0.8653005109211404,0.8653005109211404,0.6953616569426043,0.733984501734581,0.6822285173269127,0.7430886158536177,-0.027950247615770557,-0.005650925260297174,-0.01884913444519043
efficientnet_b0,finetuned,2,1530,0.8196078431372544,0.8193594028918035,0.06521557230575413,0.02976317596591378,0.2493894709756181,0.24338074381186536,0.5374060273170471,0.5163838267326355,0.7437464947925074,0.6755334654419264,0.8083203755154127,0.8083203755154127,0.7157199022208394,0.7554013796310296,0.6755334654419264,0.7637573511533291,-0.03545239633984035,-0.006008727163752725,-0.02102220058441162
efficientnet_b0,finetuned,3,1530,0.8169934640522871,0.8161650634608627,0.04781906423615474,0.02169006005221725,0.252196116423467,0.24857176020662525,0.5423849821090698,0.5286582112312317,0.7538233041828533,0.6716810525262679,0.8336528671962921,0.8336528671962921,0.685020270657806,0.81441749420223,0.6716810525262679,0.7643448363316705,-0.026129004183937495,-0.003624356216841762,-0.013726770877838135
efficientnet_b0,frozen,1,1530,0.8124183006535943,0.811079752242021,0.05559409126347188,0.04761083063736462,0.25399280352578085,0.24598563668769552,0.5480772852897644,0.5186700820922852,1.2029465423140053,1.0122348176597915,1.4984764292098052,1.4984764292098052,1.0122348176597915,1.2840200826536143,1.1425612077484457,1.0774401742983695,-0.007983260626107262,-0.008007166838085333,-0.029407203197479248
