,demodicosis,dermatitis,flea_allergy,fungus,ringworm,scabies
demodicosis,253.0,2.0,0.0,0.0,0.6666666666666666,0.3333333333333333
dermatitis,0.0,196.0,15.0,5.0,16.0,21.0
flea_allergy,1.3333333333333333,29.0,196.66666666666666,4.666666666666667,9.333333333333334,10.0
fungus,2.0,8.0,6.333333333333333,221.0,3.6666666666666665,19.0
ringworm,1.0,9.666666666666666,13.666666666666666,3.6666666666666665,224.33333333333334,3.6666666666666665
scabies,1.6666666666666667,25.0,8.666666666666666,28.333333333333332,16.0,174.33333333333334
