arch,strategy,class,support,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
convnext_tiny,finetuned,demodicosis,256.0,0.9846345741958208,0.006567351780665237,0.9986979166666626,0.0022552744890219838,0.9916032290047406,0.0022073409456953436
convnext_tiny,finetuned,dermatitis,253.0,0.7122518218483297,0.01406667948803574,0.8036890645586267,0.049735404711928353,0.7545267748252439,0.019634857804543618
convnext_tiny,finetuned,flea_allergy,251.0,0.8209985569985535,0.030504617465025155,0.7875166002656012,0.0023002002756558775,0.8036973278909102,0.01350978158439004
convnext_tiny,finetuned,fungus,260.0,0.8291552937571686,0.020230332636029042,0.9128205128205092,0.019358549834027496,0.868852691900517,0.015424553899627347
convnext_tiny,finetuned,ringworm,256.0,0.8690459041582602,0.019955864165782836,0.8671874999999966,0.028168369339562307,0.8676710684995728,0.00451965155424628
convnext_tiny,finetuned,scabies,254.0,0.8363024666818477,0.016984449384114073,0.6640419947506536,0.03182245578210526,0.7400786670651991,0.0239324859580948
convnext_tiny,frozen,demodicosis,256.0,0.9768337849733161,0.006687704093394803,0.988281249999996,0.007812499999999958,0.9825217240801707,0.00700632079665666
convnext_tiny,frozen,dermatitis,253.0,0.726848496448761,0.00536974799685409,0.7747035573122499,0.006846050622801847,0.7499975159469283,0.004395087681479897
convnext_tiny,frozen,flea_allergy,251.0,0.8183411768740245,0.007360284325375505,0.7835325365205813,0.004600400551311755,0.8005486288136016,0.004963253636537664
convnext_tiny,frozen,fungus,260.0,0.8415476262785191,0.012476888613795522,0.8499999999999966,0.013867504905630677,0.8456566357046761,0.007135860318125246
convnext_tiny,frozen,ringworm,256.0,0.831105863546647,0.015055959209002294,0.8763020833333298,0.005966895436140314,0.8530212769453945,0.005481470312569579
convnext_tiny,frozen,scabies,254.0,0.7634113316932667,0.013867429837071588,0.6863517060367427,0.019420798670536272,0.7228211558103449,0.016969333052045617
efficientnet_b0,finetuned,demodicosis,256.0,0.9832475255427803,0.01460630847599816,0.9804687499999961,0.010334966058845952,0.9817643300229241,0.004841395840909132
efficientnet_b0,finetuned,dermatitis,253.0,0.7243073799346189,0.006216619027441063,0.7786561264822104,0.010457515063496346,0.7504636741788518,0.005483568878303671
efficientnet_b0,finetuned,flea_allergy,251.0,0.836249469790903,0.022691129626138302,0.7689243027888416,0.019920318725099473,0.8008200314561374,0.004565775238419719
efficientnet_b0,finetuned,fungus,260.0,0.7500020408242495,0.0014746457485984288,0.8461538461538428,0.011538461538461497,0.7951567309063533,0.005158608985470318
efficientnet_b0,finetuned,ringworm,256.0,0.8318417491088587,0.020648541470148662,0.8554687499999966,0.010334966058846057,0.8434573114607061,0.01527866696262887
efficientnet_b0,finetuned,scabies,254.0,0.8112295864907152,0.024013007464713288,0.6863517060367427,0.008195535430969026,0.7435018433198555,0.01312417879981148
efficientnet_b0,frozen,demodicosis,256.0,0.9831011683952822,0.008771554070218963,0.9804687499999961,0.0067658234670659265,0.9817523690634841,0.004027502844290245
efficientnet_b0,frozen,dermatitis,253.0,0.7353609887565716,0.00892702727888627,0.7246376811594174,0.004564033748534573,0.7299398778196146,0.005260752292992209
efficientnet_b0,frozen,flea_allergy,251.0,0.8024187115096174,0.018507353127155447,0.8021248339973407,0.019652919770184154,0.8021144263554921,0.013042430051818384
efficientnet_b0,frozen,fungus,260.0,0.7910301372096864,0.00850822425618939,0.8448717948717915,0.025608954301843727,0.8169992350689103,0.016071835743390706
efficientnet_b0,frozen,ringworm,256.0,0.8242243247555597,0.014230914883392008,0.8710937499999964,0.015624999999999889,0.8468366978173202,0.0004736297776100244
efficientnet_b0,frozen,scabies,254.0,0.7706477554802501,0.03604417898788489,0.6850393700787375,0.011811023622047223,0.7252141928173512,0.02253816201186686
efficientnet_v2_b0,finetuned,demodicosis,256.0,0.945759578217924,0.008171513127980685,0.9752604166666629,0.005966895436140401,0.9602628681404003,0.004742723892201773
efficientnet_v2_b0,finetuned,dermatitis,253.0,0.6601981222697909,0.01245537570804216,0.7786561264822103,0.027667984189723244,0.7145172538505049,0.01893224620596969
