arch,strategy,fold,seed,epochs_run,n_train,n_test,seconds,model_kept
efficientnet_b0,frozen,0,2,14,1046,290,72.4,False
efficientnet_b0,frozen,0,3,14,1046,290,81.1,False
efficientnet_b0,frozen,1,1,13,1000,313,67.3,False
efficientnet_b0,frozen,1,2,14,1000,313,73.3,False
efficientnet_b0,frozen,1,3,14,1000,313,73.0,False
efficientnet_b0,frozen,2,1,21,1005,335,95.7,False
efficientnet_b0,frozen,2,2,17,1005,335,84.3,False
efficientnet_b0,frozen,2,3,15,1005,335,75.3,False
efficientnet_b0,frozen,3,1,15,1041,297,82.9,False
efficientnet_b0,frozen,3,2,14,1041,297,74.8,False
efficientnet_b0,frozen,3,3,17,1041,297,86.7,False
efficientnet_b0,frozen,4,1,12,1038,295,68.9,False
efficientnet_b0,frozen,4,2,15,1038,295,81.6,False
efficientnet_b0,frozen,4,3,18,1038,295,91.1,False
efficientnet_b0,finetuned,0,1,50,1046,290,249.6,True
efficientnet_b0,finetuned,0,2,50,1046,290,249.2,False
efficientnet_b0,finetuned,0,3,50,1046,290,251.8,False
efficientnet_b0,finetuned,1,1,50,1000,313,237.2,False
efficientnet_b0,finetuned,1,2,50,1000,313,233.9,False
efficientnet_b0,finetuned,1,3,50,1000,313,239.9,False
efficientnet_b0,finetuned,2,1,50,1005,335,235.0,False
efficientnet_b0,finetuned,2,2,50,1005,335,236.7,False
efficientnet_b0,finetuned,2,3,50,1005,335,233.5,False
efficientnet_b0,finetuned,3,1,50,1041,297,240.2,False
efficientnet_b0,finetuned,3,2,50,1041,297,242.2,False
efficientnet_b0,finetuned,3,3,50,1041,297,244.0,False
efficientnet_b0,finetuned,4,1,50,1038,295,242.6,False
efficientnet_b0,finetuned,4,2,50,1038,295,235.3,False
efficientnet_b0,finetuned,4,3,50,1038,295,238.1,False
convnext_tiny,frozen,0,1,20,1046,290,329.0,True
convnext_tiny,frozen,0,2,18,1046,290,301.1,False
convnext_tiny,frozen,0,3,19,1046,290,329.3,False
convnext_tiny,frozen,1,1,16,1000,313,277.1,False
convnext_tiny,frozen,1,2,18,1000,313,305.1,False
convnext_tiny,frozen,1,3,18,1000,313,313.6,False
convnext_tiny,frozen,2,1,17,1005,335,280.1,False
convnext_tiny,frozen,2,2,22,1005,335,350.3,False
convnext_tiny,frozen,2,3,22,1005,335,347.5,False
convnext_tiny,frozen,3,1,16,1041,297,270.7,False
convnext_tiny,frozen,3,2,14,1041,297,247.7,False
convnext_tiny,frozen,3,3,15,1041,297,270.5,False
convnext_tiny,frozen,4,1,17,1038,295,289.8,False
convnext_tiny,frozen,4,2,17,1038,295,286.1,False
convnext_tiny,frozen,4,3,15,1038,295,262.6,False
efficientnet_v2_b0,frozen,0,1,14,1046,290,83.6,True
efficientnet_v2_b0,frozen,0,2,13,1046,290,74.3,False
efficientnet_v2_b0,frozen,0,3,14,1046,290,72.2,False
efficientnet_v2_b0,frozen,1,1,17,1000,313,87.4,False
efficientnet_v2_b0,frozen,1,2,14,1000,313,76.1,False
efficientnet_v2_b0,frozen,1,3,18,1000,313,89.6,False
efficientnet_v2_b0,frozen,2,1,21,1005,335,103.8,False
efficientnet_v2_b0,frozen,2,2,16,1005,335,79.4,False
efficientnet_v2_b0,frozen,2,3,24,1005,335,110.8,False
efficientnet_v2_b0,frozen,3,1,15,1041,297,82.5,False
efficientnet_v2_b0,frozen,3,2,22,1041,297,97.3,False
efficientnet_v2_b0,frozen,3,3,17,1041,297,88.7,False
efficientnet_v2_b0,frozen,4,1,19,1038,295,98.0,False
efficientnet_v2_b0,frozen,4,2,20,1038,295,106.1,False
efficientnet_v2_b0,frozen,4,3,18,1038,295,87.6,False
efficientnet_v2_b0,finetuned,0,1,50,1046,290,231.9,True
efficientnet_v2_b0,finetuned,0,2,50,1046,290,228.8,False
efficientnet_v2_b0,finetuned,0,3,50,1046,290,222.7,False
efficientnet_v2_b0,finetuned,1,1,50,1000,313,218.8,False
efficientnet_v2_b0,finetuned,1,2,50,1000,313,220.4,False
